,HomeTeam,AwayTeam,HomeMax4thLead,RoadMax4thLead,HomeWinMargin
613,CHA,UTAH,13,2,5
614,WSH,POR,-10,24,-10
615,MEM,NO,6,5,2
616,DET,CHI,-2,11,-10
617,ATL,ORL,25,-13,17
618,TOR,BKN,12,3,12
619,CLE,GS,-34,43,-34
620,DAL,BOS,5,6,5
621,LAC,HOU,15,0,8
622,MIA,MIL,-12,22,-12
623,NO,MIN,15,-7,15
624,DEN,OKC,-3,9,-6
625,PHX,IND,-3,17,-3
626,ORL,PHI,-4,11,-9
627,WSH,MIA,22,-17,19
628,BKN,CLE,-13,23,-13
629,NY,UTAH,4,10,7
630,TOR,BOS,6,-2,6
631,CHI,GS,-16,31,-31
632,HOU,DET,-1,15,-9
633,OKC,CHA,21,-14,14
634,DAL,MIN,1,9,12
635,LAL,SAC,-4,20,-19
636,POR,ATL,3,6,-6
637,CLE,LAC,18,-6,13
638,NO,DET,19,-9,16
639,DEN,MEM,1,7,-1
640,SAC,ATL,7,0,3
641,PHX,SA,-14,31,-28
642,ORL,CHA,17,3,-4
643,BOS,CHI,11,-1,9
644,BKN,UTAH,-22,31,-22
645,NY,LAC,-19,31,-28
646,TOR,MIA,20,-10,20
647,HOU,MIL,14,-2,4
648,DAL,OKC,-1,15,-3
649,GS,IND,15,-6,12
650,LAL,SA,-13,25,-13
651,CHA,NY,21,-10,13
652,NO,MIL,17,-6,17
653,MIN,MEM,9,0,5
654,CLE,CHI,-9,17,-13
655,PHX,ATL,10,0,3
656,DEN,DET,10,5,3
657,POR,LAL,25,-15,18
658,SAC,IND,11,-6,11
659,BKN,OKC,12,-5,10
660,HOU,DAL,17,-1,11
661,TOR,LAC,23,-12,18
662,CLE,MIN,15,-3,7
663,WSH,BOS,-11,28,-25
664,CHI,MIA,8,5,-5
665,MEM,ORL,3,5,6
666,NO,HOU,3,3,-1
667,DEN,ATL,-12,22,-14
668,UTAH,DET,-1,13,-3
669,SAC,CHA,1,8,-1
670,GS,SA,33,-24,30
671,IND,LAC,-2,9,-2
672,PHI,PHX,16,-8,10
673,BKN,MIA,-1,7,-4
674,NY,OKC,11,0,-6
675,TOR,WSH,19,-5,17
676,MIL,ORL,7,3,7
677,POR,SAC,22,-14,15
678,LAL,DAL,3,2,-2
679,CLE,PHX,28,-16,22
680,BOS,DEN,22,-8,8
681,DET,PHI,13,6,13
682,ATL,LAC,2,5,-2
683,MIN,OKC,3,8,-3
684,SA,HOU,31,-22,31
685,UTAH,CHA,29,-18,29
686,GS,DAL,22,-13,20
687,IND,ATL,19,0,19
688,WSH,DEN,-1,10,-4
689,TOR,NY,13,-7,10
690,MEM,MIL,25,-14,20
691,NO,SAC,18,-8,9
692,LAL,CHI,-13,26,-23
693,BOS,ORL,27,-12,19
694,DET,CLE,-8,18,-8
695,NY,PHX,24,-17,18
696,OKC,HOU,14,-5,8
697,DAL,BKN,18,-11,12
698,MIL,MIA,2,5,-4
699,UTAH,MIN,16,-10,13
700,POR,CHA,20,-9,18
701,LAC,LAL,15,-7,12
702,PHI,GS,0,19,-3
703,TOR,DET,20,-4,4
704,IND,DEN,4,3,4
705,NO,BKN,6,0,2
706,HOU,WSH,6,4,-1
707,MEM,SAC,18,-1,4
708,CLE,SA,8,-1,14
709,LAC,CHI,27,-12,27
710,MIA,ATL,18,-11,18
711,ORL,BOS,11,4,5
712,DAL,PHX,13,5,13
713,NY,GS,-13,25,-21
714,POR,MIN,12,4,3
715,LAL,CHA,-19,27,-19
716,IND,CLE,4,0,-5
717,BKN,DET,2,8,-5
718,ATL,DAL,17,-11,15
719,NO,MEM,2,16,-15
720,OKC,WSH,17,-10,16
721,SA,ORL,15,-5,15
722,DEN,TOR,27,-15,19
723,UTAH,CHI,3,5,9
724,SAC,MIL,10,1,7
725,NY,BOS,-4,11,-8
726,HOU,MIA,17,-7,13
727,PHX,TOR,-5,12,-7
728,POR,MIL,17,-6,12
729,LAL,MIN,9,1,4
730,CHA,CLE,13,-6,9
731,PHI,ATL,-25,43,-38
732,BOS,DET,18,-7,7
733,BKN,IND,-10,17,-14
734,WSH,GS,-6,14,-13
735,OKC,ORL,3,3,3
736,DAL,MIA,-1,9,-3
737,SA,NO,13,-2,13
738,UTAH,DEN,5,3,4
739,SAC,CHI,-3,10,-5
740,LAC,MIN,-1,9,-6
741,DET,NY,8,2,6
742,NO,LAL,-2,12,-3
743,POR,TOR,-3,14,-7
744,PHX,HOU,4,7,-6
745,ATL,IND,7,2,6
746,CHA,MIA,8,5,-3
747,ORL,LAC,-6,16,-14
748,WSH,PHI,15,-9,12
749,BKN,SAC,18,-9,9
750,CLE,BOS,9,5,-1
751,NY,MEM,-2,10,-6
752,DEN,CHI,6,16,5
753,UTAH,MIL,8,1,3
754,DAL,SA,-22,33,-26
755,HOU,POR,-11,27,-17
756,CHA,WSH,8,1,4
757,IND,DET,13,-5,8
758,CLE,NO,15,-4,15
759,PHI,BKN,5,5,5
760,MEM,DAL,4,6,-4
761,MIN,CHI,7,5,7
762,SA,LAL,5,4,4
763,PHX,UTAH,-7,14,-9
764,GS,OKC,10,0,8
765,NY,DEN,2,7,-5
766,ORL,ATL,11,0,2
767,MIA,LAC,-3,11,-7
